presentationTopic,presentationTopicId,presentationCount,researchTopic,researchTopicId,mappingType,mappingReason,evidenceSource,safeForArchiveFilter,safeForResearchContext,humanReviewNeeded,notes
"Tekoäly","tekoaly","4","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","BROADER-NO","Broader than the current AI literacy preset; the preset is explicitly about literacy and education, not every AI mention.","src/fi/tutkimus.md: tekoälylukutaito current line; src/_data/seoTopics.js: tekoalylukutaito profile","true","false","false","langs=en/fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/kuullun-ja-nahdyn-kommentontia-tarua-vai-totta-tekoly-lohkoketjuja-sek-yritysyhteistyt-seminaari/87972554|Kuullun ja nähdyn kommentontia: tarua vai totta (tekoälyä, lohkoketjuja sekä yritysyhteistyötä -seminaari);slideshare|https://www.slideshare.net/slideshow/davidin-ja-goljatin-taistelu-kesyttk-opettajateknologian-vai-jyrk-teknologia-opettajan-teknologiatuetun-oppimisen-ja-opettamisen-nykyhetken-ja-tulevaisuuden-tarkastelua-eri-nkkulmista/140995534|”Davidin ja Goljatin taistelu: kesyttääkö opettaja teknologian vai jyrääkö teknologia opettajan? Teknologiatuetun oppimisen ja opettamisen nykyhetken ja tulevaisuuden tarkastelua eri näkökulmista;slideshare|https://www.slideshare.net/slideshow/digitaalinen-tulevaisuus-2030-kuinka-tukily-tukee-ihmisten-arkea-oppimista-ja-tyt-jo-lhitulevaisuudessa/146730753|Digitaalinen tulevaisuus 2030 – kuinka ”tukiäly” tukee ihmisten arkea, oppimista ja työtä jo lähitulevaisuudessa."
"tekoäly arjessa","tekoaly arjessa","4","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=Un4WxPZdZD5qG6a;4zq6qy9B3GX9FQK;WNfJmky8Se8aUa6"
"tekoälytyökalut","tekoalytyokalut","4","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=qjolBc10LSzMSAR;IMm6-JD8PRTBK2F;m5VefIslzj_iYuG"
"webinaari","webinaari","4","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=7IyyLkfG4NvVNFy;jkh6GGDWw4nOc3_;m5VefIslzj_iYuG"
"Yliopisto ja korkeakoulut","yliopisto ja korkeakoulut","4","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/my-life-9-months-before-the-defence/13140146|My life 9 months before the defence;slideshare|https://www.slideshare.net/slideshow/laru-thesisintro2012/12684734|Scaffolding learning activities in real life contexts with collaborative scripts and mobile computers;slideshare|https://www.slideshare.net/slideshow/quali-lecture-1-17116725/17116725|Quali lecture 1: Understanding the research process"
"digijalki","digijalki","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=o2KsaiK39PKEN2g;WNfJmky8Se8aUa6;ULcBKqsIIMap4cc"
"digipedagogiikka","digipedagogiikka","3","Opettajankoulutus ja pedagoginen muutos","teacher-education","NARROWER","Exact current research theme label under the teacher education preset.","src/_data/researchProgram.js: RESEARCH_THEME_LABELS; src/_data/seoTopics.js: opettajankoulutus researchThemes","true","true","false","langs=fi | sources=canva | samples=/presentations/generation-ai-yleisesitys-sovellukset-2026/;LxK-UqOjO0Ti57w;WrqBItfiBYxVHlM"
"digitalisaatio","digitalisaatio","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva/slideshare | samples=slideshare|https://www.slideshare.net/slideshow/alustus-digitaalisuus-koulutuksessa/51713522|Alustus: Digitaalisuus koulutuksessa;I1SYHLZ9wRiCanl;WrqBItfiBYxVHlM"
"education","education","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Cms-4m8mJZ9yK4e;tjjrZpkP2brKCKh;p4rQp2s1Ex3o48Z"
"esitysgrafiikka","esitysgrafiikka","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/professional-use-of-social-media-web20/34945863|Professional use of social media (web2.0);slideshare|https://www.slideshare.net/slideshow/powerpoint-harjoitus/10557979|Luento: Powerpoint harjoitus;slideshare|https://www.slideshare.net/slideshow/the-role-and-importance-of-social-media-in-science/40101721|The role and importance of social media in science"
"hybridiälykkyys","hybridialykkyys","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=qxV96znMIpZ5Q2a;uZIb__sx1r4EAqT;F5-Wd95VzJy0JoP"
"koneoppiminen","koneoppiminen","3","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","NARROWER","Exact current research theme label under the AI literacy preset.","src/_data/researchProgram.js: RESEARCH_THEME_LABELS; src/_data/seoTopics.js: tekoalylukutaito researchThemes","true","true","false","langs=en/fi | sources=canva | samples=jT1t-KBLsuVoxiG;Mh-ALQxZX1-EQaB;UigBOzdI_YhoZZG"
"koukuttavuus","koukuttavuus","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=KStaqdjmBpQz_Yq;BHFIfQOhEw4ABCA;Mh-ALQxZX1-EQaB"
"laadullinen tutkimus","laadullinen tutkimus","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/mobiililaitteet-ja-koulu-hype-ja-arkirealismia/14657236|Mobiililaitteet ja koulu: hypeä ja arkirealismia;slideshare|https://www.slideshare.net/slideshow/teoria-suunnittelu-aotvt/21178375|Teoria suunnittelu a_otvt;slideshare|https://www.slideshare.net/slideshow/quali-lecture-1-17116725/17116725|Quali lecture 1: Understanding the research process"
"monilukutaito","monilukutaito","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva/slideshare | samples=slideshare|https://www.slideshare.net/slideshow/luento-1-mediakasvatuksesta-kohti-monilukutaitoa-digitaalinen-media-oppimisprojektina-2014/29836950|Luento 1: mediakasvatuksesta kohti monilukutaitoa (digitaalinen media oppimisprojektina 2014);slideshare|https://www.slideshare.net/slideshow/sukol2015seinajoki-44375884/44375884|Teknologia ja monilukutaito – merkittävä osa tämän vuosisadan ydintaitoja;DUFz3anJzfZmV8G"
"muutos","muutos","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=qxV96znMIpZ5Q2a;gkvZ4JJwmVa0Knk;aDY3w1A8bLJm0kr"
"opettajuus","opettajuus","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva/slideshare | samples=slideshare|https://www.slideshare.net/slideshow/miten-opettajien-uusi-sukupolvi-mullistaa-opetuksen-vai-mullistaako-sittenkn/114255330|Miten opettajien uusi sukupolvi mullistaa opetuksen? Vai mullistaako sittenkään?;2d_GA4aAEX9qmRs;tjqmy-4Lc_5j41O"
"OPH","oph","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=canva | samples=2PrBoY6M2CTg60F;ELi8lObr4rmLy89;d6ho42WobmfnVvc"
"oppimisanalytiikka","oppimisanalytiikka","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=canva/slideshare | samples=slideshare|https://www.slideshare.net/slideshow/are-we-currently-moving-from-the-age-of-mobilism-to-age-of-artificial-intelligence-learning-analytics-and-robotics-yes-we-arehow-to-couple-emergent-technology-with-learning-and-teaching/135625316|Are we currently moving from the age of mobolism to age of artificail intelligence, learning analytics and robotics? Yes were are! How to couple emerging technology with learning and teaching?;slideshare|https://www.slideshare.net/slideshow/predicting-future-of-edtech-2030-v2/129224523|PREDICTING FUTURE OF EDTECH 2030 v2;ULcBKqsIIMap4cc"
"selitettävä tekoäly","selitettava tekoaly","3","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","NARROWER","Exact current research theme label under the AI literacy preset.","src/_data/researchProgram.js: RESEARCH_THEME_LABELS; src/_data/seoTopics.js: tekoalylukutaito researchThemes","true","true","false","langs=fi | sources=canva | samples=CRypZKJybJhhwBd;jkh6GGDWw4nOc3_;ThD48aX9TlBUu2f"
"Teachable Machine","teachable machine","3","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","NARROWER","Explicit curated English tool alias already present in the current research evidence set.","src/curated/researchfi/0701014225.md; src/curated/canva/g5EqinrmAUi2FB8.md","true","true","false","langs=en | sources=canva | samples=g5EqinrmAUi2FB8;_Hb99jYnxlwV_7J;-eSwZknSARYMaO9"
"tekoälyaika","tekoalyaika","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=2d_GA4aAEX9qmRs;nJE4skdc9hohwL0;tjqmy-4Lc_5j41O"
"tekoälyluento","tekoalyluento","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=canva | samples=Th9VKpjA84-sgKY;jT1t-KBLsuVoxiG;H13QgkxVZpEyel5"
"tekoälytaidot","tekoalytaidot","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=oE3MYYL33hpYgAf;BwG8adUhENZ7jrX;ufZPce1w_asMPp_"
"väitöskirja","vaitoskirja","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/my-life-9-months-before-the-defence/13140146|My life 9 months before the defence;slideshare|https://www.slideshare.net/slideshow/laru-thesisintro2012/12684734|Scaffolding learning activities in real life contexts with collaborative scripts and mobile computers;slideshare|https://www.slideshare.net/slideshow/the-role-and-importance-of-social-media-in-science/40101721|The role and importance of social media in science"
"workshop","workshop","3","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=_Hb99jYnxlwV_7J;Th9VKpjA84-sgKY;-eSwZknSARYMaO9"
"adaptive teaching","adaptive teaching","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=qX_3Ld__WgjScWJ;y4oM9QaEQrxs2Lq"
"affordanssit","affordanssit","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/technology-choices-tel1/17178124|Technology choices (TEL1);slideshare|https://www.slideshare.net/slideshow/affordances-short-introductionlarulet2011/9467539|Affordances short introduction_laru_let_2011"
"data agency","data agency","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=-eSwZknSARYMaO9;CYteD0Z-U5Z6TzJ"
"differentiation","differentiation","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=qX_3Ld__WgjScWJ;y4oM9QaEQrxs2Lq"
"digikuilu","digikuilu","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/koulu-tieto-yhtkuntatel2/17179684|Koulu (tieto)yhteiskunnassa (TEL2);slideshare|https://www.slideshare.net/slideshow/2-luento-tieto-ja-viestinttekniikan-pedagogiset-perusteet-kurssilla-tvt-ja-yhteiskunta/9101048|2. luento tieto- ja viestintätekniikan pedagogiset perusteet kurssilla. TVT ja yhteiskunta"
"digitaalinen oppiminen","digitaalinen oppiminen","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/digital-enabled-learning-arctic-frontiers-speech-2020/228552429|""Digital enabled learning"" (Arctic frontiers speech 2020);slideshare|https://www.slideshare.net/slideshow/digitaalisen-oppimisen-vlineit-yhdess-kehittmss-varhainen-omaksuja-uhka-vai-mahdollisuus-tietohallinnolle-137649224/137649224|Digitaalisen oppimisen välineitä yhdessä kehittämässä – varhainen omaksuja, uhka vai mahdollisuus tietohallinnolle? (2019)"
"digital competence","digital competence","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Hlih1iAZAFJZTxM;ELi8lObr4rmLy89"
"digitutorit","digitutorit","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=BwG8adUhENZ7jrX;ufZPce1w_asMPp_"
"eriyttäminen","eriyttaminen","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=qX_3Ld__WgjScWJ;y4oM9QaEQrxs2Lq"
"Etäopetus","etaopetus","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=slideshare/youtube | samples=/presentations/eduxr-2020-suunnanmuutos-digiopettajasta-etaopettajaksi/;slideshare|https://www.slideshare.net/slideshow/teknologia-oppiminen-ja-osaaminen-yhteiskunnassa-uudet-teknologiat-isnnn-vai-rengin-roolissa/16672046|Teknologia, oppiminen ja osaaminen yhteiskunnassa - uudet teknologiat isännän vai rengin roolissa"
"Fedutalk","fedutalk","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=tjjrZpkP2brKCKh;p4rQp2s1Ex3o48Z"
"Finland","finland","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=ELi8lObr4rmLy89;tjjrZpkP2brKCKh"
"Finnish model","finnish model","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Hlih1iAZAFJZTxM;ELi8lObr4rmLy89"
"GDPR","gdpr","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=canva | samples=_Hb99jYnxlwV_7J;uZIb__sx1r4EAqT"
"integraatio","integraatio","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=Un4WxPZdZD5qG6a;4zq6qy9B3GX9FQK"
"IT Kouluttajat","it kouluttajat","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=qjolBc10LSzMSAR;CRypZKJybJhhwBd"
"ITK2025","itk2025","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=W2018dVgiTBgQxw;BHFIfQOhEw4ABCA"
"iTPACK","itpack","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=2d_GA4aAEX9qmRs;2PrBoY6M2CTg60F"
"K-12","k 12","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=-eSwZknSARYMaO9;CYteD0Z-U5Z6TzJ"
"kansainvälisyys","kansainvalisyys","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=canva | samples=qx9PoFlOBrBceoH;tjjrZpkP2brKCKh"
"keynote","keynote","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=DAHI6X6dR_g;sDBhfb4DZw_hcEG"
"kieltenopetus","kieltenopetus","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=I-r13uz6Wiip2cC;uZIb__sx1r4EAqT"
"kognitiiviset työkalut","kognitiiviset tyokalut","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=sDBhfb4DZw_hcEG;nJE4skdc9hohwL0"
"koulut","koulut","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=F5-Wd95VzJy0JoP;SiQ1lIJLHO9eT0t"
"kriittinen lukutaito","kriittinen lukutaito","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=Qj3UMnjU3RwRv7P;I-r13uz6Wiip2cC"
"KYK","kyk","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=canva | samples=Th9VKpjA84-sgKY;jT1t-KBLsuVoxiG"
"käytäntö","kaytanto","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=aTM5lGaNw5NYCtj;fMchhKOJuh9LPSe"
"LLM","llm","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=WNfJmky8Se8aUa6;rcjGtO0E3RNGeXW"
"LMFM","lmfm","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=qxV96znMIpZ5Q2a;gkvZ4JJwmVa0Knk"
"luento","luento","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=Un4WxPZdZD5qG6a;uZIb__sx1r4EAqT"
"Luento","luento","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=/presentations/luento-4-ohjelmointiosaaminen/;/presentations/luento-1-johdanto/"
"machine learning","machine learning","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Th9VKpjA84-sgKY;UigBOzdI_YhoZZG"
"Microsoft AI","microsoft ai","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=S9UhE1RwcwtuNMz;d6ho42WobmfnVvc"
"musta laatikko","musta laatikko","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=CRypZKJybJhhwBd;ThD48aX9TlBUu2f"
"ohjelmoinnillinen ajattelu","ohjelmoinnillinen ajattelu","2","Opettajankoulutus ja pedagoginen muutos","teacher-education","NARROWER","Exact current research theme label under the teacher education preset.","src/_data/researchProgram.js: RESEARCH_THEME_LABELS; src/_data/seoTopics.js: opettajankoulutus researchThemes","true","true","false","langs=en | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/digital-enabled-learning-arctic-frontiers-speech-2020/228552429|""Digital enabled learning"" (Arctic frontiers speech 2020);slideshare|https://www.slideshare.net/slideshow/developing-computational-thinking-practises-through-digital-fabrication-activities/149380656|Developing Computational Thinking Practises through Digital Fabrication Activities"
"opettajan kompetenssit","opettajan kompetenssit","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=RIjexbw0vJhknqR;jT1t-KBLsuVoxiG"
"opettajaprofiilit","opettajaprofiilit","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=2d_GA4aAEX9qmRs;2PrBoY6M2CTg60F"
"Opetus","opetus","2","Opettajankoulutus ja pedagoginen muutos","teacher-education","BROADER-NO","Too broad to force into the teacher education preset without adding noise.","src/_data/seoTopics.js: opettajankoulutus keywords include opetus","true","false","false","langs=fi | sources=canva/youtube | samples=/presentations/teknologia-opetuksen-tukena-video-1-keskustelemme-suhteestamme/;/presentations/generation-ai-yleisesitys-sovellukset-2026/"
"Opetushallitus","opetushallitus","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=2PrBoY6M2CTg60F;d6ho42WobmfnVvc"
"oppimisen arviointi","oppimisen arviointi","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=H13QgkxVZpEyel5;F5-Wd95VzJy0JoP"
"pedagogiset mallit","pedagogiset mallit","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/luento-2-teoria-410014y-tieto-ja-viestinttekniikka-pedagogisena-vlineen-144-views-presentations63-luento-2-teoria-410014y-tieto-ja-viestinttekniikka-pedagogisena-vlineen-luento1-johdanto-410014y-tvt-pedagogiset-perusteet-using-gartners-hype-curve-as-a-bas/25871563|Luento 3. Suunnittelu ja pedagogiset mallit (410014Y) Tieto- ja viestintätekniikka pedagogisena välineenä;slideshare|https://www.slideshare.net/slideshow/luento5-suunnittelu-ja-pedagogiset-mallit/38677440|Luento5 suunnittelu ja pedagogiset mallit"
"Peruskoulu","peruskoulu","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/developing-computational-thinking-practises-through-digital-fabrication-activities/149380656|Developing Computational Thinking Practises through Digital Fabrication Activities;slideshare|https://www.slideshare.net/slideshow/teknologiatuettu-oppiminen-ja-opetus-luento-asiantuntijafoorumissa/71802225|Teknologiatuettu oppiminen ja opetus - luento asiantuntijafoorumissa"
"professional development","professional development","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Hlih1iAZAFJZTxM;ELi8lObr4rmLy89"
"promptaus","promptaus","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=aDY3w1A8bLJm0kr;I-r13uz6Wiip2cC"
"regulation","regulation","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=z50JNAQrXmpHanN;c8WhYSwnqMjsYUZ"
"Sharples","sharples","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=Un4WxPZdZD5qG6a;m5VefIslzj_iYuG"
"Simo","simo","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=i5qAHZkGYqjOGZV;H8tSyhG_9jcwRpr"
"somekone","somekone","2","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","NARROWER","Curated research program already treats Somekone as an AI-literacy teaching tool under the current research themes.","src/curated/research-program.json: summary mentions Somekone under tekoalylukutaito/digipedagogiikka; src/curated/researchfi/02241881YJ.md","true","true","false","langs=fi | sources=canva | samples=CRypZKJybJhhwBd;o2KsaiK39PKEN2g"
"sääntely","saantely","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=z50JNAQrXmpHanN;c8WhYSwnqMjsYUZ"
"tekoälykasvatus","tekoalykasvatus","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=oE3MYYL33hpYgAf;yBTK1xtETo0tuLp"
"tekoälykysely","tekoalykysely","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=2d_GA4aAEX9qmRs;2PrBoY6M2CTg60F"
"tekoälyn perusteet","tekoalyn perusteet","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=7IyyLkfG4NvVNFy;i5qAHZkGYqjOGZV"
"tietoisuus","tietoisuus","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=4zq6qy9B3GX9FQK;S9UhE1RwcwtuNMz"
"tulevaisuus","tulevaisuus","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=EAMOOLnvrmnE_0g;tjqmy-4Lc_5j41O"
"täydennyskoulutus","taydennyskoulutus","2","Opettajankoulutus ja pedagoginen muutos","teacher-education","ALIAS","Explicit keyword already used by the teacher education topic profile for cross-scope discovery.","src/_data/seoTopics.js: opettajankoulutus keywords include täydennyskoulutus","true","true","false","langs=en/fi | sources=canva | samples=DCBR_muSwblqYUG;Hlih1iAZAFJZTxM"
"verkkokurssit","verkkokurssit","2","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/lito2018-workshop-arviointi-suurilla-verkkokursseilla/99171640|Lito2018 workshop arviointi suurilla verkkokursseilla;slideshare|https://www.slideshare.net/slideshow/teknologiatuettu-oppiminen-ja-opetus-luento-asiantuntijafoorumissa/71802225|Teknologiatuettu oppiminen ja opetus - luento asiantuntijafoorumissa"
"2020-luku","2020 luku","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=ufZPce1w_asMPp_"
"2023","2023","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=d6ho42WobmfnVvc"
"adaptiivinen oppimisjärjestelmä","adaptiivinen oppimisjarjestelma","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=rcjGtO0E3RNGeXW"
"agenttipohjaisuus","agenttipohjaisuus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=EAMOOLnvrmnE_0g"
"AI Accelerator","ai accelerator","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=qX_3Ld__WgjScWJ"
"AI education","ai education","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=-eSwZknSARYMaO9"
"AI lecture","ai lecture","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Th9VKpjA84-sgKY"
"AI literacy healthcare","ai literacy healthcare","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=z50JNAQrXmpHanN"
"AI-lukutaito","ai lukutaito","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=jkh6GGDWw4nOc3_"
"AILit framework","ailit framework","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Cms-4m8mJZ9yK4e"
"AILit-kehys","ailit kehys","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=sdrdv3W33qRpdA8"
"ajankohtaiskatsaus","ajankohtaiskatsaus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=I1SYHLZ9wRiCanl"
"alakoulu","alakoulu","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=_Hb99jYnxlwV_7J"
"aluehallintovirasto","aluehallintovirasto","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=o2KsaiK39PKEN2g"
"ammatillinen työkalu","ammatillinen tyokalu","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=z50JNAQrXmpHanN"
